brand_name,category_name,quality_code,count_items_per_category,avg_erp,avg_listed_price,avg_sold_price
Assorted Brands,Sneakers,Q1,1,51,10.74,10.74
Assorted Brands,Sweatshirt,Q2,1,51,18.74,null
Assorted Brands,Watch,Q1,1,38,16.74,16.74
Athleta,Active Tank,Q2,1,49,16.74,15.74
Ato Matsumoto,Sweatshirt,Q1,1,150,75.74,null
Auline Collection,Blazer,Q1,1,38,8.74,8.74
Auline Collection,Blazer,Q2,1,38,8.74,8.74
Ava Nirui x Marc Jacobs,Pullover Hoodie,Q1,1,229,48.74,48.74
Azalea Wang,Sandals,Q2,1,134,28.74,null
BUSSOLA,Sandals,Q3,1,57,19.74,null
Balenciaga Le Dix,Casual Pants,Q2,1,320,156.74,null
Balenciaga Le Dix,Coat,Q3,1,1200,144.74,null
Balenciaga Le Dix,Cocktail Dress,Q3,1,1500,225.74,null
Bali Corp,Cocktail Dress,Q2,1,64,39.74,null
Baum Und Pferdgarten,Belt,Q1,1,52,12.74,14.74
Betsey Johnson,Sunglasses,Q3,1,54,18.74,18.74
Born Handcrafted Footwear,Wedges,Q2,1,127,31.74,33.74
Brit & Bri,Sleeveless Blouse,Q2,1,38,8.74,8.74
Brooks Brothers Red Fleece,Wool Blazer,Q2,1,533,136.74,136.74
Brunello Cucinelli,3/4 Sleeve Blouse,Q1,1,2000,419.74,null
Brunello Cucinelli,3/4 Sleeve Button-Down Shirt,Q2,1,2495,574.74,null
Brunello Cucinelli,3/4 Sleeve Silk Top,Q1,1,1350,391.74,null
Brunello Cucinelli,3/4 Sleeve Silk Top,Q2,1,1450,362.74,null
Brunello Cucinelli,3/4 Sleeve Top,Q1,1,2180,239.74,239.74
Brunello Cucinelli,3/4 Sleeve Top,Q3,1,750,149.74,149.74
Brunello Cucinelli,Active Pants,Q1,2,1625,300.24,null
Brunello Cucinelli,Active Pants,Q2,2,1900,148.24,57.87
Brunello Cucinelli,Active Pants,Q3,2,995,104.74,0
Brunello Cucinelli,Active T-Shirt,Q1,1,779,327.74,327.74
