item_number,brand_name,category,quality_code,estimated_erp,listed_price,sold_price
211392815,Alexander McQueen,Cocktail Dress,Q2,620.0,254.74,254.74
213651372,Alexander McQueen,Cocktail Dress,Q2,1500.0,704.74,704.74
212944102,Alexander McQueen,Cocktail Dress,Q2,1480.0,310.74,310.74
206117153,Alexander McQueen,Cocktail Dress,Q2,2200.0,219.74,200.74
206518555,Alexander McQueen,Cocktail Dress,Q2,2695.0,477.74,0.0
214351713,Alexander McQueen,Cocktail Dress,Q2,1790.0,549.74,549.74
207634168,Alexander McQueen,Cocktail Dress,Q2,1800.0,329.74,335.74
216814096,Alexander McQueen,Cocktail Dress,Q2,306.0,39.74,39.74
213653099,Alexander McQueen,Cocktail Dress,Q2,480.0,374.74,374.74
210872009,Alexander McQueen,Cocktail Dress,Q2,1650.0,324.74,324.74
212600325,Alexander McQueen,Cocktail Dress,Q2,1950.0,448.74,448.74
206970440,Alexander McQueen,Cocktail Dress,Q2,1725.0,310.74,310.74
208169015,Alexander McQueen,Cocktail Dress,Q3,705.0,148.74,148.74
207488520,Alexander McQueen,Cocktail Dress,Q3,950.0,270.74,0.0
208757858,Alexander McQueen,Cocktail Dress,Q3,2200.0,165.74,165.74
208027123,Alexander McQueen,Cocktail Dress,Q3,1190.0,154.74,154.74
213598302,Alexander McQueen,Cocktail Dress,Q3,4000.0,684.74,684.74
205736704,Alexander McQueen,Cocktail Dress,Q3,705.0,148.74,148.74
207677453,Alexander McQueen,Cocktail Dress,Q3,1890.0,589.74,589.74
207177051,Alexander McQueen,Cocktail Dress,Q3,2100.0,230.74,230.74
209519779,Alexander McQueen,Cocktail Dress,Q3,2100.0,230.74,230.74
210088069,Alexander McQueen,Cocktail Dress,Q3,870.0,256.74,256.74
209053869,Alexander McQueen,Cocktail Dress,QUALITY,1500.0,399.74,279.74
212595693,Alexander McQueen,Crossbody Bag,Q1,850.0,186.74,186.74
209283914,Alexander McQueen,Crossbody Bag,Q2,1490.0,904.74,450.74
214310633,Alexander McQueen,Denim Shorts,Q1,525.0,120.74,120.74
