,Name,Average Price At Listing,COUNT of items,SELL THRU % items sold in 7 listing days,SELL THRU % items sold in 14 listing days,SELL THRU % items sold in 30 listing Days,SELL THRU % items sold in 3 listing months,SELL THRU % items sold in 6 listing months,SELL THRU % items sold in 9 listing months,SELL THRU % items sold in 12 listing months
490,Totes,$12.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
491,Mono b,$21.74,1,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
492,K-Way,$21.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
493,Louie et Lucie,$37.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
494,One By Chapter One,$17.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
495,Vineyard Vines Performance,$22.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
496,New Balance,$37.74,1,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
497,Bazar Christian Lacroix,$84.74,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
498,Calvin Klein,$20.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
499,Nike x Comme des Garçons x Supreme,$163.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
500,Saks Fifth Avenue,$64.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
