item_number,brand_name,category,quality_code,estimated_erp,listed_price,sold_price
216085890,Acne Studios,Pullover Sweater,Q2,580.0,145.74,99.74
216073328,Acne Studios,Pullover Sweater,Q2,790.0,189.74,189.74
209282850,Acne Studios,Pullover Sweater,Q2,340.0,115.74,115.74
215595187,Acne Studios,Pullover Sweater,Q2,750.0,142.74,142.74
206772282,Acne Studios,Pullover Sweater,Q2,350.0,105.74,105.74
210404832,Acne Studios,Pullover Sweater,Q2,500.0,104.74,104.74
216381526,Acne Studios,Pullover Sweater,Q2,420.0,130.74,130.74
213613719,Acne Studios,Pullover Sweater,Q2,580.0,174.74,174.74
216065777,Acne Studios,Pullover Sweater,Q2,900.0,225.74,225.74
212693164,Acne Studios,Pullover Sweater,Q2,400.0,188.74,109.74
209623887,Acne Studios,Pullover Sweater,Q2,480.0,215.74,0.0
208247661,Acne Studios,Pullover Sweater,Q2,300.0,129.74,129.74
212704407,Acne Studios,Pullover Sweater,Q3,490.0,122.74,122.74
209282955,Acne Studios,Pullover Sweater,Q3,340.0,85.74,85.74
212134862,Acne Studios,Pullover Sweater,Q3,550.0,109.74,109.74
209248530,Acne Studios,Sandals,Q2,465.0,153.74,59.74
214008243,Acne Studios,Scarf,Q1,380.0,114.74,114.74
210985273,Acne Studios,Scarf,Q1,190.0,110.74,110.74
212043237,Acne Studios,Scarf,Q1,270.0,108.74,108.74
212688119,Acne Studios,Scarf,Q2,270.0,243.74,243.74
211254114,Acne Studios,Scarf,Q2,350.0,147.74,147.74
212606446,Acne Studios,Scarf,Q2,380.0,117.74,117.74
209554717,Acne Studios,Scarf,Q2,350.0,175.74,175.74
215607605,Acne Studios,Scarf,Q2,290.0,145.74,145.74
213341741,Acne Studios,Scarf,Q2,250.0,120.74,120.74
214697233,Acne Studios,Scarf,Q2,310.0,148.74,148.74
216701603,Acne Studios,Scarf,Q3,350.0,118.74,118.74
214336612,Acne Studios,Short Sleeve Blouse,Q2,350.0,105.74,105.74
213867045,Acne Studios,Short Sleeve T-Shirt,Q1,170.0,91.74,91.74
209253162,Acne Studios,Short Sleeve T-Shirt,Q1,280.0,184.74,30.74
215922027,Acne Studios,Short Sleeve T-Shirt,Q2,300.0,72.74,72.74
208605317,Acne Studios,Short Sleeve T-Shirt,Q2,190.0,43.74,43.74
213093189,Acne Studios,Short Sleeve T-Shirt,Q2,410.0,102.74,102.74
208577997,Acne Studios,Short Sleeve T-Shirt,Q2,190.0,55.74,55.74
207527712,Acne Studios,Short Sleeve T-Shirt,Q2,153.0,91.74,91.74
212303181,Acne Studios,Short Sleeve T-Shirt,Q2,500.0,104.74,0.0
208176681,Acne Studios,Short Sleeve T-Shirt,Q2,380.0,68.74,30.74
